date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WBA,WMT,XOM
2019-01-02,80.9078369140625,100.0,33.88044357299805,-58.918983459472656,-89.64356994628906,62.29361343383789,-58.80217742919922,-13.144082069396973,100.0,55.15008544921875,100.0,100.0,-100.0,-95.01058197021484,52.33608627319336,76.46617126464844,-15.118718147277832,-100.0,-53.07195281982422,-72.30130004882812,32.12213897705078,100.0,-60.70835494995117,8.793699264526367,100.0,-100.0,19.381261825561523,16.958236694335938,100.0,-17.352294921875
2019-01-03,-23.454036712646484,-100.0,-99.41326141357422,24.46563148498535,-72.2629165649414,100.0,-86.9768295288086,-75.93563842773438,100.0,48.171730041503906,100.0,-80.45756530761719,30.29777717590332,-5.173850059509277,-60.01884460449219,-100.0,100.0,-4.339651584625244,25.443273544311523,20.881616592407227,-26.737340927124023,62.01689147949219,-39.24167251586914,100.0,75.15440368652344,19.587326049804688,-100.0,29.15486717224121,84.0086669921875,68.92674255371094
2019-01-04,-39.36840057373047,100.0,24.501333236694336,-37.413204193115234,14.715838432312012,43.55734634399414,94.13124084472656,-64.72356414794922,100.0,-100.0,95.46044158935547,66.52664947509766,100.0,100.0,61.56925964355469,-44.230682373046875,100.0,81.539306640625,48.57786178588867,-26.968128204345703,-100.0,5.57481050491333,77.86386108398438,61.915653228759766,50.77382278442383,-100.0,-23.966894149780273,27.79388999938965,100.0,-100.0
2019-01-07,100.0,100.0,-6.8941802978515625,49.091102600097656,-100.0,22.075050354003906,-41.30061340332031,-100.0,-67.82160949707031,-81.64724731445312,-84.77991485595703,85.57466125488281,-79.81304931640625,74.51827239990234,-85.74568176269531,-100.0,100.0,55.1595458984375,34.4319953918457,-100.0,-100.0,100.0,100.0,-47.404502868652344,-67.72466278076172,67.2774429321289,100.0,-100.0,-100.0,44.24877166748047
2019-01-08,100.0,-15.214133262634277,100.0,1.162270426750183,-3.810560703277588,-11.622249603271484,12.658890724182129,36.05350875854492,100.0,100.0,-17.151100158691406,30.681476593017578,-100.0,100.0,53.64717102050781,-57.32788848876953,100.0,100.0,100.0,-100.0,60.020721435546875,41.081260681152344,100.0,100.0,73.7691421508789,-79.67172241210938,-59.342926025390625,-100.0,-100.0,-55.84744644165039
2019-01-09,69.09856414794922,100.0,100.0,33.083106994628906,-100.0,100.0,54.79500198364258,83.58654022216797,41.466339111328125,11.880868911743164,-55.933719635009766,-35.72327423095703,10.44815444946289,100.0,20.677724838256836,-100.0,100.0,100.0,100.0,100.0,-21.529951095581055,-86.17388153076172,-6.574130058288574,-100.0,100.0,-100.0,23.25389862060547,-100.0,22.084440231323242,-41.93849563598633
2019-01-10,66.45021057128906,-100.0,100.0,68.45308685302734,-29.762340545654297,100.0,-48.82678985595703,100.0,100.0,-100.0,-93.0051498413086,63.53114700317383,-100.0,-7.9187750816345215,-4.352599143981934,-100.0,100.0,-5.640073299407959,100.0,-47.66246795654297,-7.3792243003845215,100.0,100.0,93.66909790039062,-100.0,-100.0,-100.0,100.0,-43.04975128173828,-100.0
2019-01-11,48.52918243408203,-30.493656158447266,15.670669555664062,-9.556198120117188,97.43421936035156,100.0,11.269370079040527,100.0,100.0,37.6011962890625,12.566122055053711,10.752579689025879,65.62368774414062,100.0,-53.76951217651367,-43.3453369140625,-4.131948947906494,-33.0012092590332,61.51540756225586,93.69712829589844,49.37953567504883,100.0,100.0,69.95154571533203,8.971386909484863,-62.54779052734375,42.969276428222656,100.0,57.83280563354492,-100.0
2019-01-14,29.825162887573242,-6.496916770935059,23.38603401184082,32.26640319824219,20.976055145263672,100.0,-27.84148406982422,4.1960954666137695,100.0,-70.20899963378906,-60.85569381713867,-23.75084114074707,-40.307010650634766,8.646738052368164,100.0,-33.3191032409668,100.0,-100.0,100.0,-100.0,-41.77565383911133,78.89213562011719,100.0,100.0,100.0,-100.0,-1.630185604095459,-100.0,-45.56691360473633,-26.892276763916016
2019-01-15,-100.0,47.48653030395508,-100.0,28.434297561645508,-73.30310821533203,100.0,37.28024673461914,100.0,100.0,-87.76275634765625,7.622920036315918,55.3323860168457,-69.58216094970703,100.0,-23.752986907958984,14.82371711730957,65.55265045166016,35.517642974853516,-47.46565246582031,-16.340896606445312,-100.0,41.1668701171875,81.70207214355469,59.598575592041016,-30.378992080688477,-96.3333969116211,100.0,-100.0,54.362762451171875,56.13007354736328
2019-01-16,-100.0,-100.0,100.0,-35.442710876464844,-76.55875396728516,100.0,100.0,100.0,100.0,-100.0,-14.993147850036621,74.5044937133789,67.97277069091797,80.15018463134766,100.0,-40.97285842895508,-92.32151794433594,66.98985290527344,100.0,29.791772842407227,-45.90712356567383,-90.16165924072266,92.92096710205078,100.0,24.122896194458008,-3.2967538833618164,-17.565505981445312,-100.0,-100.0,-79.75578308105469
2019-01-17,74.6416015625,-100.0,100.0,-43.781707763671875,96.83318328857422,100.0,-15.791535377502441,-100.0,-13.57104206085205,38.955326080322266,50.77194595336914,-14.496028900146484,-38.64731216430664,74.11302185058594,100.0,-19.759836196899414,34.258628845214844,-100.0,70.15262603759766,4.999184608459473,-46.780731201171875,-100.0,100.0,-100.0,17.26312255859375,-31.351619720458984,100.0,3.1234889030456543,59.5606575012207,-100.0
