,0
Annual return,0.19264684908870677
Cumulative returns,0.4016763364430176
Annual volatility,0.19633970466321451
Sharpe ratio,0.9975240325750167
Calmar ratio,1.0860612493076343
Stability,0.3979476439957374
Max drawdown,-0.1773812013010495
Omega ratio,1.2122724318524827
Sortino ratio,1.476122316512803
Skew,
Kurtosis,
Tail ratio,1.1032964319480052
Daily value at risk,-0.023959280945914974
Alpha,0.0
Beta,1.0
